lambda_um,width_um,height_um,n_eff_TE,n_eff_TM
0.75,1.375,0.875,1.97930310253682,1.97533904577838
0.75,1.375,0.9,1.98082174424924,1.97725006235335
0.75,1.375,0.925,1.98225370180328,1.97903258470125
0.75,1.375,0.95,1.9836182679289,1.98070655024624
0.75,1.375,0.975,1.98494157962158,1.98229560695067
0.75,1.375,1,1.98626390871397,1.98383225976898
0.75,1.4,0.6,1.9525683565895,1.93956177595453
0.75,1.4,0.625,1.95624179089368,1.94463876032732
0.75,1.4,0.65,1.95960922420502,1.94920494652957
0.75,1.4,0.675,1.96266414871966,1.9533502862295
0.75,1.4,0.7,1.96547925038212,1.95710049376603
0.75,1.4,0.725,1.96804522591179,1.96052513153486
0.75,1.4,0.75,1.97042115208892,1.96364017320294
0.75,1.4,0.775,1.97260638971698,1.96649752494077
0.75,1.4,0.8,1.97462588670388,1.96911908354477
0.75,1.4,0.825,1.97649695128818,1.97153061830661
0.75,1.4,0.85,1.97823540218543,1.97375498216254
0.75,1.4,0.875,1.97985618966859,1.97581281969075
0.75,1.4,0.9,1.98137421642613,1.97772335536845
0.75,1.4,0.925,1.98280555985997,1.97950540653644
0.75,1.4,0.95,1.98416948543888,1.98117889431254
0.75,1.4,0.975,1.98549208328604,1.98276744033347
0.75,1.4,1,1.9868135354449,1.9843035020363
0.75,1.425,0.6,1.95309453167593,1.94001517413746
0.75,1.425,0.625,1.9567630833984,1.9450836707892
0.75,1.425,0.65,1.96013466054484,1.94965676155095
0.75,1.425,0.675,1.96318530290898,1.95379502568342
0.75,1.425,0.7,1.96600404662248,1.95755094561401
0.75,1.425,0.725,1.96856626160169,1.96096960476957
0.75,1.425,0.75,1.97094538971625,1.96408945367075
0.75,1.425,0.775,1.97313036358212,1.96694627607782
0.75,1.425,0.8,1.97514961067077,1.96956734173793
0.75,1.425,0.825,1.97702043601059,1.97197841563866
0.75,1.425,0.85,1.97875865444655,1.97420234614795
0.75,1.425,0.875,1.98037921109736,1.9762597726026
0.75,1.425,0.9,1.9818970011846,1.9781699128762
0.75,1.425,0.925,1.98332809050633,1.97995157512329
0.75,1.425,0.95,1.98469172527043,1.98162466638325
0.75,1.425,0.975,1.98601396111524,1.98321278454513
0.75,1.425,1,1.98733491173627,1.98474834248243
0.75,1.45,0.6,1.95360442339809,1.9404536986308
0.75,1.45,0.625,1.95727624289814,1.94552890959796
0.75,1.45,0.65,1.96064229202165,1.95009335484834
0.75,1.45,0.675,1.96369582331386,1.95423720236066
0.75,1.45,0.7,1.96650972945141,1.95798591316444
0.75,1.45,0.725,1.96907450373118,1.9614092976842
0.75,1.45,0.75,1.97144939659792,1.96452304927624
0.75,1.45,0.775,1.97363361601087,1.96737926166978
0.75,1.45,0.8,1.97565215958282,1.96999976296389
0.75,1.45,0.825,1.97752232595678,1.97241031236789
0.75,1.45,0.85,1.97925992292496,1.97463375237694
0.75,1.45,0.875,1.98087988716445,1.97669071591243
0.75,1.45,0.9,1.98239710284165,1.97860041318996
0.75,1.45,0.925,1.98382761990219,1.98038164229005
0.75,1.45,0.95,1.98519065972737,1.98205429562892
0.75,1.45,0.975,1.98651223535032,1.98364194762853
0.75,1.45,1,1.98783237897895,1.98517696899524
0.75,1.475,0.6,1.95408078283791,1.9408665977294
0.75,1.475,0.625,1.95774794497564,1.94593376908175
0.75,1.475,0.65,1.96111803836643,1.95050481358727
0.75,1.475,0.675,1.96416748138698,1.95464196688465
